species,presence_categories,origin_categories,seasonal_categories
Aphanotriccus audax,1,1,1
Aphanotriccus capitalis,"3, 1",1,1
Aphantochroa cirrochloris,1,1,1
Aphelocoma californica,1,1,1
Aphelocoma ultramarina,1,1,1
Aphelocoma unicolor,1,1,1
Aphelocoma wollweberi,1,1,1
Aprositornis disjuncta,1,1,1
Aquila chrysaetos,1,1,1
Ara ambiguus,"4, 1, 3",1,1
Ara ararauna,"1, 3",1,1
Ara chloropterus,1,1,1
Ara glaucogularis,1,1,1
Ara macao,"4, 1",1,1
Ara militaris,"4, 1, 3",1,1
Ara severus,1,1,1
Aramides albiventris,1,1,1
Aramides axillaris,1,1,1
Aramides cajaneus,1,1,1
Aramides calopterus,1,1,1
Aramides mangle,1,1,1
Aramides saracura,1,1,1
Aramides wolfi,1,1,1
Aramides ypecaha,1,1,1
Aramus guarauna,1,1,1
Aratinga auricapillus,"1, 3",1,1
Aratinga jandaya,1,1,1
Aratinga maculata,1,1,1
Aratinga solstitialis,"1, 4",1,1
Aratinga weddellii,1,1,1
Archilochus alexandri,1,1,4
Archilochus colubris,1,1,"3, 4"
Ardea alba,1,1,"1, 3"
Ardea cocoi,1,1,1
Ardea herodias,1,1,"3, 1"
Ardea occidentalis,3,1,1
Ardenna bulleri,1,1,1
Ardenna creatopus,1,1,1
Ardenna gravis,1,1,3
Ardenna grisea,1,1,3
Arenaria interpres,1,1,3
Arremon abeillei,1,1,1
Arremon assimilis,1,1,1
Arremon atricapillus,1,1,1
Arremon aurantiirostris,1,1,1
Arremon axillaris,1,1,1
Arremon brunneinucha,1,1,1
Arremon castaneiceps,1,1,1
Arremon costaricensis,1,1,1
Arremon crassirostris,1,1,1
Arremon dorbignii,1,1,1
Arremon flavirostris,1,1,1
Arremon franciscanus,1,1,1
Arremon perijanus,1,1,1
Arremon schlegeli,1,1,1
Arremon semitorquatus,1,1,1
Arremon taciturnus,1,1,1
Arremonops chloronotus,1,1,1
Arremonops conirostris,1,1,1
Arremonops rufivirgatus,1,1,1
Arremonops tocuyensis,1,1,1
Arundinicola leucocephala,1,1,1
Asemospiza fuliginosa,1,1,1
Asemospiza obscura,1,1,1
Asio clamator,1,1,1
Asio flammeus,1,1,"3, 1"
Asio otus,1,1,3
Asio stygius,1,1,1
Aspatha gularis,1,1,1
Asthenes ayacuchensis,1,1,1
Asthenes flammulata,1,1,1
Asthenes fuliginosa,1,1,1
Asthenes helleri,1,1,1
Asthenes humilis,1,1,1
Asthenes luizae,1,1,1
Asthenes maculicauda,1,1,1
Asthenes modesta,1,1,1
Asthenes moreirae,1,1,1
Asthenes ottonis,1,1,1
Asthenes palpebralis,1,1,1
Asthenes pyrrholeuca,1,1,3
Asthenes urubambensis,1,1,1
Asthenes vilcabambae,1,1,1
Asthenes virgata,1,1,1
Asthenes wyatti,1,1,1
Atalotriccus pilaris,1,1,1
Athene cunicularia,1,1,"3, 1"
Atlapetes albofrenatus,1,1,1
Atlapetes canigenis,1,1,1
Atlapetes crassus,1,1,1
Atlapetes flaviceps,1,1,1
Atlapetes latinuchus,1,1,1
Atlapetes leucopis,1,1,1
Atlapetes leucopterus,1,1,1
Atlapetes melanolaemus,1,1,1
Atlapetes melanopsis,1,1,1
Atlapetes nigrifrons,1,1,1
Atlapetes pallidinucha,1,1,1
Atlapetes personatus,1,1,1
Atlapetes pileatus,1,1,1
Atlapetes schistaceus,1,1,1
Atlapetes semirufus,1,1,1
Atlapetes taczanowskii,1,1,1
Atlapetes terborghi,1,1,1
Atlapetes tricolor,1,1,1
Atthis ellioti,1,1,1
Atthis heloisa,1,1,1
Atticora fasciata,1,1,1
Atticora pileata,1,1,1
Atticora tibialis,1,1,1
Attila bolivianus,1,1,1
Attila cinnamomeus,1,1,1
Attila citriniventris,1,1,1
Attila phoenicurus,1,1,"2, 3, 4"
Attila rufus,1,1,1
Attila spadiceus,1,1,1
Attila torridus,"3, 4, 1",1,1
Augastes scutatus,1,1,1
Aulacorhynchus albivitta,1,1,1
Aulacorhynchus atrogularis,1,1,1
Aulacorhynchus caeruleogularis,1,1,1
Aulacorhynchus calorhynchus,1,1,1
Aulacorhynchus coeruleicinctis,1,1,1
Aulacorhynchus cyanolaemus,1,1,1
Aulacorhynchus derbianus,1,1,1
Aulacorhynchus haematopygus,1,1,1
Aulacorhynchus huallagae,1,1,1
Aulacorhynchus prasinus,1,1,1
Aulacorhynchus whitelianus,1,1,1
Auriparus flaviceps,1,1,1
Automolus infuscatus,1,1,1
Automolus lammi,1,1,1
Automolus leucophthalmus,1,1,1
Automolus melanopezus,1,1,1
Automolus ochrolaemus,1,1,1
Automolus paraensis,1,1,1
Automolus rufipileatus,1,1,1
Automolus subulatus,1,1,1
Automolus virgatus,1,1,1
Avocettula recurvirostris,1,1,1
Aythya affinis,1,1,3
Aythya americana,1,1,3
Aythya collaris,1,1,3
Aythya valisineria,1,1,3
Baeolophus atricristatus,1,1,1
Baeolophus wollweberi,1,1,1
Bangsia arcaei,1,1,1
Bangsia edwardsi,1,1,1
Bangsia flavovirens,1,1,1
Bangsia rothschildi,1,1,1
Bartramia longicauda,1,1,"4, 3"
Baryphthengus martii,1,1,1
Baryphthengus ruficapillus,1,1,1
Basileuterus auricapilla,1,1,1
Basileuterus belli,1,1,1
Basileuterus cabanisi,1,1,1
Basileuterus culicivorus,1,1,1
Basileuterus hypoleucus,1,1,1
Basileuterus ignotus,1,1,1
Basileuterus lachrymosus,1,1,1
Basileuterus melanogenys,1,1,1
Basileuterus rufifrons,1,1,1
Basileuterus tristriatus,1,1,1
Basilinna leucotis,1,1,1
Batara cinerea,1,1,1
Berlepschia rikeri,1,1,1
Biatas nigropectus,"1, 3, 4",1,1
Boissonneaua flavescens,1,1,1
Boissonneaua jardini,1,1,1
Boissonneaua matthewsii,1,1,1
Bolborhynchus lineola,1,1,1
Bolborhynchus orbygnesius,1,1,1
Bombycilla cedrorum,1,1,3
Botaurus lentiginosus,"4, 1",1,3
Botaurus pinnatus,1,1,1
Brachygalba albogularis,1,1,1
Brachygalba lugubris,1,1,1
